Streams,Artist Followers,Tempo,Duration (ms)
5413003,122746,126.904,194890
5323062,6852509,130.97,190534
5269163,4026643,169.732,229827
5176493,9778632,112.985,190306
5137645,48544923,99.757,158324
5094660,67208170,178.765,228482
5086382,2110870,95.975,181680
5078174,342930,160.013,190680
5060336,301217,78.4,330040
5052717,32279979,110.028,231387
5013450,48544923,153.96,153190
5004111,48544923,90.674,156468
4972518,1053324,145.013,227478
4969662,1560784,84.412,225280
4967348,10580764,129.972,198707
6292362,,,
6007541,29067437,175.826,157320
5837372,48544923,89.934,187239
5794583,48544923,119.59,152796
5510113,17792779,101.085,200960
5466954,29238936,168.022,230693
5419040,48544923,101.04,159250
5410730,203555,125.706,189000
5365747,56327031,94.966,383037
5356696,342930,160.013,190680
5326719,9778632,98.013,192921
5323412,48544923,135.031,198426
5302285,35340069,186.003,230453
5255393,10510156,91.97,180520
5211351,435936,110.013,173227
10024729,48544923,127.138,186696
8912458,48544923,129.964,220920
5796978,13697048,122.792,333710
5528508,14831925,82.042,211130
5418816,13697048,201.025,271177
5312876,26769304,83.897,248345
5249427,10580764,170.002,163320
5189822,10580764,87.977,187427
5098581,713486,99.112,131272
5082870,2897862,92.028,202373
6426522,28931149,182.003,184134
6155698,2010879,122.012,181720
6020785,7408249,110.971,168649
5454807,20528724,104.957,165907
5439646,3868320,88.972,137747
5198514,1650912,90.013,219048
5156937,2786366,183.933,190218
5103528,8671649,110.962,237893
5085527,29566516,146.04,110886
5084635,5064200,116.879,216320
5079857,35340069,92.987,269187
5068349,6852509,179.798,213333
5054881,419151,74.988,219801
5052557,1643882,139.991,344571
5023592,23848461,130.032,182956
5013851,5831194,116.919,234852
5510906,1251372,112.602,211411
5462333,6852509,148.014,171892
5393459,19102888,140.061,206734
5321946,568711,89.826,222667
5232377,18306226,93.985,206587
5208787,2161609,134.041,187362
5170861,7816213,140.005,192804
5168240,786461,103.013,155825
5093408,432511,124.962,156960
5073657,7535054,93.099,142000
5060903,1027085,120.041,218107
5044929,3799104,108.045,185773
7464020,33663701,98.036,241360
6591829,67208170,115.036,122174
5874460,1453875,83.97,198493
5440707,2238190,142.592,126521
5145966,2897862,83.943,185840
5124742,621200,116.735,163636
5115990,33663701,159.801,218147
5079580,1453875,127.938,167867
5016283,15663384,136.041,201661
4995965,36177712,113.903,156430
4994138,48544923,147.986,212867
4982892,2722638,112.997,188387
4974880,83337783,107.989,258987
6162453,,,
5936752,961181,116.963,195734
5897983,5831194,128.111,243750
5535339,1251372,139.898,172693
5497942,3689546,105.918,177500
5168107,1053324,123.066,156498
5116325,251549,123.978,227186
5059891,9778632,123.055,153865
5053713,2820477,124.988,178157
5004462,29238936,166.039,224187
4986037,67208170,116.965,167990
4984399,83337783,101.956,219947
5344862,1251372,179.997,189840
5232509,3134041,94.059,171215
5163323,26784251,179.984,200482
5120753,6096559,96.988,222680
5044252,1200248,150.06,237900
5003825,29566516,128.009,135090
4995623,83337783,78.998,281560
4966878,56327031,81.618,247059
4929647,35340069,119.829,277680
4908929,132855,112.05,176547
4902737,6478565,174.323,258773
4847224,29566516,129.953,95467
6011642,19102888,81.535,157355
5963380,47061119,135.154,203464
5579697,20528724,104.914,177801
5479407,35340069,107.949,213520
5342938,804613,103.116,169632
5233359,35340069,134.17,228373
5208100,15778531,110,223279
5197587,14921269,114.978,144391
5092250,3912138,170.527,228147
5072462,26784251,173.961,176970
5046418,444736,140.02,125143
4995578,35340069,170.062,198267
4906738,67208170,131.798,201882
4900492,1692635,126.684,196373
4884711,4794212,130.058,137984
4873380,149682,97.054,197587
5487774,197320,156.013,125720
5136895,1726216,163.924,214693
5071718,16655692,96.855,163127
5052801,6313514,77.599,177323
5030670,1248499,121.876,146523
4948563,2147875,196,178520
4942545,2127531,176.007,345241
5929507,18306226,93.985,206587
5427534,114348,84.974,182199
5332437,2147875,136.97,161773
5186567,28931149,163.882,155956
4962949,1053324,108.025,168906
4931163,17097317,104.181,213869
4914093,211500,119.993,180139
4864544,6096559,176.037,190101
4848954,42227614,171.319,244000
4833081,14073083,94.148,176960
5942551,19102888,149.992,158033
5119828,8153871,128.031,188581
4983557,1251372,160.064,150260
4915403,41551,110.003,187000
4855690,3916979,129.857,162399
4796365,23848461,127.97,194765
4790233,29238936,168.084,217547
5622565,411262,133.928,115200
5446609,2147875,69.877,202133
5160123,2147875,88.003,190680
5064504,2147875,203.903,210507
4935633,36177712,169.934,217769
4906324,8766508,94.053,216747
4892682,6852509,99.7,201600
4879971,2147875,126.019,216573
4860714,2147875,115.058,156747
4815342,4281787,168.096,166838
4812765,23848461,159.972,177813
4790427,31552500,93.995,172762
4769618,27167675,114.999,156911
5317174,1674348,100.119,201501
4986214,42227614,79.015,215627
4858392,724903,112.022,158571
4848222,14122,138.023,173913
4655272,31552500,100.015,214290
4630572,35910149,156.271,209413
4606011,29067437,94.018,205933
4580123,4281787,168.008,182977
4540781,5002317,90.494,193293
4516053,441714,123.935,168387
4504304,9998991,150.084,205493
4488125,1777797,84.98,105176
23235257,6931357,150.273,241107
20709328,1631876,107.682,262960
16657592,67208170,191.9,204093
16613649,222627,67.196,126267
16527404,20637,119.705,130973
15424001,4702232,94.775,206640
14582001,369548,201.629,151933
12266990,7869617,159.878,229640
11664490,239129,148.837,182067
10884855,1139096,134.009,117147
10787165,4953667,142.169,155453
10609206,48544923,161.993,182947
10508459,1251372,91.751,181267
10476212,4883,115.412,222533
9882989,3609658,94.736,227653
9852792,4702232,151.251,119787
9509781,4313100,146.172,214333
8804531,,,
8478518,1634288,78.696,192160
7045348,359973,130.503,177480
6912271,4958353,140.028,164591
6716353,58479,140.467,135533
6404964,382997,78.111,272467
6052105,99249,202.899,220160
6007011,5698788,94.518,129173
5802508,1251372,151.925,162897
5801639,1251372,146.861,144080
5687085,1324920,87.101,202547
5422082,336373,112.874,155933
5394054,1251372,126.627,166453
5353591,7504724,140.308,272394
5209372,5002317,143.896,174960
5191001,1293055,160.061,186533
5152906,15019109,117.399,164459
10522305,1549216,128.706,126360
10509961,,,
10455065,31161671,132.062,268521
9548924,17097317,75.248,170964
9474711,20528724,92.986,205267
9457199,9470311,147.08,255400
9270017,1298537,113.998,173560
9167304,5436999,146.035,200880
8813922,3916979,118.078,169245
8696354,4805333,93,156773
8614955,46814751,140.945,224656
8387899,1251372,102.103,86760
8177832,4702232,122.331,171093
8160534,353571,113.401,166147
8115520,42227614,145.916,229840
8064361,1151360,128.897,181267
8022773,127251,84.485,206067
7993078,1024868,46.718,85267
7901968,42227614,112.05,185320
7792643,1251372,83.506,148147
7536851,33893352,83.608,196254
7367482,1139096,130.036,143733
7363913,4224071,139.986,267600
7350024,2877234,112.986,239587
7301381,1251372,130.594,118840
7299201,8037861,81.966,154747
7281773,10606572,84.796,219653
7227612,1139096,136.471,135760
7225080,4953667,110.378,136427
7182262,4953667,174.609,120693
7170169,6931357,78.496,200467
7149158,359973,101.529,165667
6985392,3083825,89.918,268960
6809438,424935,93.047,231173
6680928,659472,126.011,149307
6657404,42227614,134.002,228027
6652130,18936929,137.494,182521
6635128,1564750,104.999,255307
6635109,42227614,74.952,245440
6400108,6896776,183.18,177440
6278993,10606572,179.967,161013
16213589,42227614,122.079,315147
14519547,42227614,88.856,260440
14392788,42227614,119.966,225880
14385703,42227614,107.895,275320
13810722,42227614,125.177,304107
13583538,42227614,157.895,215920
12782098,42227614,127.967,275040
12234761,42227614,96.103,257773
11245393,42227614,151.884,180653
10561183,5002317,165.945,216560
8901697,5002317,172.995,199787
7655623,5002317,152.058,242267
7524738,5002317,123.105,148707
7117347,5002317,130.036,201093
6865689,5002317,158.073,176027
6763705,5002317,142.04,150853
6388079,36177712,123.013,191526
6108393,5002317,133.971,37013
6068816,5002317,142.017,325413
5845457,42227614,130.033,239560
9325928,19102888,76.017,183783
7932101,33893352,98.991,202357
6653913,35340069,170.903,216123
6567755,3828418,145.013,227478
6204228,36177712,126.054,139576
5929516,7816213,139.995,210699
5884221,15778531,121.981,196453
5698275,37151476,121.953,254950
5436450,133998,113.968,136839
5390363,36177712,96.172,295177
5375449,36177712,90.019,162299
5370330,2238190,73.779,181688
5364223,181236,133.928,215280
5314734,1276406,90.988,192745
12914431,36177712,145.001,162151
12660806,36177712,133.037,213609
12507010,36177712,76.993,165199
11298839,36177712,139.988,221187
11066606,36177712,191.911,163053
